benchmark_time,commit_time,commit_pr,git_hash,run_number,Eager Runtime (ms),Compilation Time (ms),Script Runtime (ms),10th Script Runtime (ms)
2019-09-18 21:58:09,2019-09-06 21:57:00,25728,a332583c59597361b1081c819b99dd4580a89b74,3,600.240437,2850.035421,4987.035879999999,609.18288
2019-09-18 21:58:09,2019-09-06 21:57:00,25728,a332583c59597361b1081c819b99dd4580a89b74,4,682.830807,2870.609563,5187.808722,602.995853
2019-09-18 21:58:09,2019-09-06 21:57:00,25728,a332583c59597361b1081c819b99dd4580a89b74,5,860.716851,2757.845934,5277.726497000001,867.719038
2019-09-18 21:58:09,2019-09-06 21:57:00,25728,a332583c59597361b1081c819b99dd4580a89b74,6,871.7170150000001,2546.0582059999997,4849.765666,685.123319
2019-09-18 21:58:09,2019-09-06 21:57:00,25728,a332583c59597361b1081c819b99dd4580a89b74,7,650.802786,2446.8015570000002,4782.557451000001,586.4343909999999
2019-09-18 21:58:09,2019-09-06 21:57:00,25728,a332583c59597361b1081c819b99dd4580a89b74,8,586.769219,2765.7134109999997,4811.927223000001,594.356809
2019-09-18 21:58:09,2019-09-06 21:57:00,25728,a332583c59597361b1081c819b99dd4580a89b74,9,605.47328,2883.776179,5128.158925,584.45222
2019-09-18 22:06:10,2019-09-07 22:46:24,25146,d7a1152ee9948e21f337264460c5f6d12e4ed67f,0,962.829515,3003.732977,4986.83784,716.504869
2019-09-18 22:06:10,2019-09-07 22:46:24,25146,d7a1152ee9948e21f337264460c5f6d12e4ed67f,1,669.346364,2988.720261,5365.68278,842.676454
2019-09-18 22:06:10,2019-09-07 22:46:24,25146,d7a1152ee9948e21f337264460c5f6d12e4ed67f,2,833.296042,2861.9953459999997,5119.912382,585.65382
2019-09-18 22:06:10,2019-09-07 22:46:24,25146,d7a1152ee9948e21f337264460c5f6d12e4ed67f,3,589.989391,2890.410277,4970.798992,586.4316239999999
2019-09-18 22:06:10,2019-09-07 22:46:24,25146,d7a1152ee9948e21f337264460c5f6d12e4ed67f,4,588.0875209999999,2930.2942160000002,5011.0638930000005,619.948813
2019-09-18 22:06:10,2019-09-07 22:46:24,25146,d7a1152ee9948e21f337264460c5f6d12e4ed67f,5,805.358565,2891.293052,4972.454196000001,605.585458
2019-09-18 22:06:10,2019-09-07 22:46:24,25146,d7a1152ee9948e21f337264460c5f6d12e4ed67f,6,889.919624,2902.541151,4840.060759,589.596657
2019-09-18 22:06:10,2019-09-07 22:46:24,25146,d7a1152ee9948e21f337264460c5f6d12e4ed67f,7,595.097914,2803.210117,4858.460199,590.753237
2019-09-18 22:06:10,2019-09-07 22:46:24,25146,d7a1152ee9948e21f337264460c5f6d12e4ed67f,8,596.885895,2738.0147549999997,4813.369113,595.453091
2019-09-18 22:06:10,2019-09-07 22:46:24,25146,d7a1152ee9948e21f337264460c5f6d12e4ed67f,9,614.41318,2838.7923220000002,5285.751829,601.486126
2019-09-18 22:14:16,2019-09-08 21:40:10,25848,73855ecd4315a2790f14a39d335c96bd98382078,0,652.398199,2535.0060129999997,4183.162025,584.863551
2019-09-18 22:14:16,2019-09-08 21:40:10,25848,73855ecd4315a2790f14a39d335c96bd98382078,1,670.520259,2544.068822,4124.395389,609.920455
2019-09-18 22:14:16,2019-09-08 21:40:10,25848,73855ecd4315a2790f14a39d335c96bd98382078,2,595.072887,2780.810743,4411.970154000001,584.05231
2019-09-18 22:14:16,2019-09-08 21:40:10,25848,73855ecd4315a2790f14a39d335c96bd98382078,3,589.57529,2481.277851,4336.683718,594.661674
2019-09-18 22:14:16,2019-09-08 21:40:10,25848,73855ecd4315a2790f14a39d335c96bd98382078,4,589.9803959999999,2886.592224,5238.178265,585.033235
2019-09-18 22:14:16,2019-09-08 21:40:10,25848,73855ecd4315a2790f14a39d335c96bd98382078,5,587.344149,2642.003176,4471.859054,588.2255749999999
2019-09-18 22:14:16,2019-09-08 21:40:10,25848,73855ecd4315a2790f14a39d335c96bd98382078,6,591.120851,2382.436131,4242.368601,583.282546
2019-09-18 22:14:16,2019-09-08 21:40:10,25848,73855ecd4315a2790f14a39d335c96bd98382078,7,588.434451,2490.7431970000002,4418.823732,583.6666720000001
2019-09-18 22:14:16,2019-09-08 21:40:10,25848,73855ecd4315a2790f14a39d335c96bd98382078,8,586.914023,2420.165224,4110.843279,875.630802
2019-09-18 22:14:16,2019-09-08 21:40:10,25848,73855ecd4315a2790f14a39d335c96bd98382078,9,879.5261409999999,2895.9537250000003,4646.623017,587.429233
2019-09-18 22:21:58,2019-09-09 22:07:01,25782,c47ccfd01d55e9909024482b1e2ce4ab9ec9ed9f,0,962.618451,3000.878049,4988.428397,622.474213
2019-09-18 22:21:58,2019-09-09 22:07:01,25782,c47ccfd01d55e9909024482b1e2ce4ab9ec9ed9f,1,663.262532,2892.339917,5080.573505,587.396838
2019-09-18 22:21:58,2019-09-09 22:07:01,25782,c47ccfd01d55e9909024482b1e2ce4ab9ec9ed9f,2,739.635306,2885.164267,5357.668213999999,620.064387
2019-09-18 22:21:58,2019-09-09 22:07:01,25782,c47ccfd01d55e9909024482b1e2ce4ab9ec9ed9f,3,593.58313,2958.354739,5409.263926,624.7537169999999
2019-09-18 22:21:58,2019-09-09 22:07:01,25782,c47ccfd01d55e9909024482b1e2ce4ab9ec9ed9f,4,667.411875,3189.1454559999997,5183.440382,979.947424
2019-09-18 22:21:58,2019-09-09 22:07:01,25782,c47ccfd01d55e9909024482b1e2ce4ab9ec9ed9f,5,1043.216743,2821.43289,4772.96602,588.579623
2019-09-18 22:21:58,2019-09-09 22:07:01,25782,c47ccfd01d55e9909024482b1e2ce4ab9ec9ed9f,6,640.830111,2759.1211150000004,4199.1,588.180607
2019-09-18 22:21:58,2019-09-09 22:07:01,25782,c47ccfd01d55e9909024482b1e2ce4ab9ec9ed9f,7,592.947025,2428.327777,4148.238178,585.590011
2019-09-18 22:21:58,2019-09-09 22:07:01,25782,c47ccfd01d55e9909024482b1e2ce4ab9ec9ed9f,8,591.205735,2410.631833,4340.720765,586.7905089999999
2019-09-18 22:21:58,2019-09-09 22:07:01,25782,c47ccfd01d55e9909024482b1e2ce4ab9ec9ed9f,9,589.079497,2434.782544,4269.491615,601.734593
